"package_lc","version","osv_id"
"cosmwasm-vm","2.2.0","GHSA-mx2j-7cmv-353c"
"webauthn-authenticator-rs","0.6.0-dev","GHSA-22w3-693w-x895"
"libcrux-intrinsics","0.0.3","GHSA-2cgv-28vr-rv6j"
"libcrux-ml-kem","0.0.3","GHSA-2cgv-28vr-rv6j"
"libcrux-ml-dsa","0.0.3","GHSA-2cgv-28vr-rv6j"
"namada-apps","1.0.0","GHSA-2gw2-qgjg-xh6p"
"simple_asn1","0.6.0","GHSA-3m6f-3gfg-4x56"
"anchor-lang","1.0.0-rc.1","GHSA-429q-fhh4-r6hj"
"rage","0.6.0","GHSA-4fg7-vxc8-qx5w"
"age","0.6.0","GHSA-4fg7-vxc8-qx5w"
"tonic","0.12.2","GHSA-4jwc-w2hc-78qv"
"ordered-float","2.0.0","GHSA-566x-hhrf-qf8m"
"imageproc","0.24.0","GHSA-5qv7-j6w5-fr4m"
"deno","1.39.0","GHSA-6q4w-9x56-rmwq"
"wasmtime","19.0.0","GHSA-75hq-h6g9-h4q5"
"namada-apps","1.0.0","GHSA-82vg-5v4f-f9wq"
"wasmtime","0.34.0","GHSA-88xq-w8cq-xfg7"
"arti","1.2.2","GHSA-9328-gcfq-p269"
"tor-circmgr","0.18.0","GHSA-9328-gcfq-p269"
"matrix-sdk-crypto","0.7.0","GHSA-9ggc-845v-gcgv"
"mpl-candy-machine","4.5.0","GHSA-9v25-r5q2-2p6w"
"deno","1.32.0","GHSA-c25x-cm9x-qqgx"
"serde_v8","0.87.0","GHSA-c25x-cm9x-qqgx"
"deno_runtime","0.102.0","GHSA-c25x-cm9x-qqgx"
"tor-circmgr","0.18.0","GHSA-c96h-cxx6-rmg9"
"arti","1.2.2","GHSA-c96h-cxx6-rmg9"
"blurhash","0.1.1","GHSA-cxvp-82cq-57h2"
"namada-apps","1.0.0","GHSA-f8qm-hmm3-fv7f"
"sha2","0.9.7","GHSA-fc7x-2cmc-8j2g"
"simple_asn1","0.6.0","GHSA-g4h2-4wvh-grc5"
"bingrep","0.8.5","GHSA-gm68-g349-gxgg"
"wasmtime","43.0.0","GHSA-hfr4-7c6c-48w2"
"plonky2","1.0.0","GHSA-hj49-h7fq-px5h"
"s2n-quic","1.22.0","GHSA-hxq4-mx37-fqvg"
"hivex","0.2.0","GHSA-j8cj-hw74-64jv"
"openvm","1.0.0","GHSA-jf2r-x3j4-23m7"
"gix-path","0.10.8","GHSA-mgvv-9p9g-3jv4"
"aws-sigv4","0.55.0","GHSA-mjv9-vp6w-3rc9"
"dashmap","5.0.0","GHSA-mpg5-fvwp-42m2"
"tokio-boring","4.0.0","GHSA-pjrj-h4fg-6gm4"
"kamadak-exif","0.5.2","GHSA-px9g-8hgv-jvg2"
"tower-http","0.2.0","GHSA-qrqq-9c63-xfrg"
"slab","0.4.10","GHSA-qx2v-8332-m4fv"
"serde-json-wasm","1.0.0","GHSA-rr69-rxr6-8qwf"
"crossbeam-channel","0.4.3","GHSA-v5m7-53cv-f3hx"
"deno","1.34.0","GHSA-vc52-gwm3-8v2f"
"deno_runtime","0.114.0","GHSA-vc52-gwm3-8v2f"
"tauri","1.4.0","GHSA-wmff-grcw-jcfm"
"soroban-fixed-point-math","1.4.0","GHSA-x5m4-43jf-hh65"
"qdrant","1.9.0-dev","GHSA-xcr2-h8hv-6227"
"sha2","0.9.7","GHSA-xpww-g9jx-hp8r"
