"package_lc","version","osv_id"
"github.com/hashicorp/vault","1.17.0-rc1","GHSA-32cj-5wx4-gq8p"
"github.com/mattermost/mattermost/server/v8","8.1.0","GHSA-33r7-wjfc-7w98"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-37j2-3vv8-cf24"
"github.com/envoyproxy/envoy","1.37.0","GHSA-3cw6-2j68-868p"
"github.com/mattermost/mattermost-server","7.8.0","GHSA-3wq5-3f56-v5xc"
"github.com/mattermost/mattermost-server/v6","7.10.0","GHSA-455c-vqrf-mghr"
"github.com/pingcap/tidb","5.3.0","GHSA-4whx-7p29-mq22"
"github.com/envoyproxy/envoy","1.37.0","GHSA-56cj-wgg3-x943"
"github.com/azukaar/cosmos-server","0.22.18","GHSA-5fqm-cc34-fcf5"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-5gmf-x7hg-97wf"
"go.opentelemetry.io/otel/baggage","1.41.0","GHSA-5wrp-cwcj-q835"
"go.opentelemetry.io/otel/propagation","1.41.0","GHSA-5wrp-cwcj-q835"
"github.com/concourse/concourse","6.4.0","GHSA-627p-rr78-99rj"
"github.com/concourse/dex","6.4.0","GHSA-627p-rr78-99rj"
"github.com/aquasecurity/trivy","0.69.4","GHSA-69fq-xp46-6x23"
"github.com/zitadel/zitadel","2.64.0","GHSA-6cf5-w9h3-4rqv"
"github.com/hashicorp/consul","1.10.1","GHSA-6hw5-6gcx-phmw"
"github.com/rancher/rancher","2.7.2","GHSA-6m9f-pj6w-w87g"
"github.com/pterodactyl/wings","1.2.0","GHSA-6rg3-8h8x-5xfv"
"github.com/osrg/gobgp/v4","4.3.0","GHSA-7235-89m6-f4px"
"github.com/cosmwasm/wasmd","0.60.0","GHSA-79xg-q4qm-7v9w"
"k8s.io/kubernetes","1.28.0","GHSA-7fxm-f474-hf8w"
"github.com/crossplane/crossplane","1.15.5","GHSA-7h65-4p22-39j6"
"github.com/authzed/spicedb","1.3.0","GHSA-7p8f-8hjm-wm92"
"github.com/mattermost/mattermost-server","11.6.0","GHSA-7pf2-9c95-w332"
