"package_lc","version","osv_id"
"next","12.3.5","GHSA-223j-4rm8-mrmf"
"@opensearch-project/opensearch","3.5.3","GHSA-27f5-xjrr-q9ff"
"color-string","2.1.1","GHSA-286p-vc9p-p5qv"
"ember-power-timepicker","1.0.8","GHSA-28f8-hqmc-7ph8"
"nginxbeautifier","1.0.14","GHSA-28xx-8j99-m32j"
"tar","7.5.1","GHSA-29xp-372q-xqph"
"fiora","1.0.0","GHSA-2c6j-vw6r-mfch"
"@backstage/backend-common","0.21.0","GHSA-2fc9-xpp8-2g9h"
"genieacs","1.2.13","GHSA-2h6j-mhcp-9j9h"
"editor.md","1.5.0","GHSA-2j5v-fc74-j9q2"
"another-date-picker","2.0.43","GHSA-2p62-c4rm-mr72"
"codify","0.3.1","GHSA-2q6w-rxf3-4wc9"
"motiv.scss","0.4.20","GHSA-2vqq-jgxx-fxjc"
"ng-ui-library","1.0.987","GHSA-2xw5-3767-qxvm"
"@jswork/next-npm-version","1.0.1","GHSA-2xx6-qf7x-grqh"
"@ag-grid-enterprise/charts","32.0.0","GHSA-328p-362g-r48j"
"ag-grid-community","32.0.0","GHSA-328p-362g-r48j"
"ag-grid-enterprise","32.0.0","GHSA-328p-362g-r48j"
"@electron/packager","18.3.0","GHSA-34h3-8mw4-qw57"
"flowise","3.0.7","GHSA-35g6-rrw3-v6xc"
"zemen","0.0.5","GHSA-377f-vvrc-9wgg"
"deep.assign","0.0.0-alpha.0","GHSA-3829-mgmw-jcg4"
"@cyclonedx/cyclonedx-library","6.7.0","GHSA-38gf-rh2w-gmj7"
"@excalidraw/excalidraw","0.18.0","GHSA-39h7-pwv7-rc3x"
"coffee-project","1.7.5","GHSA-3fv6-q5xv-fhpw"
"flowise","3.0.5","GHSA-3gcm-f6qx-ff7p"
"directus","2.2.0","GHSA-3gvp-54v2-2jrp"
"crypto-js","3.2.0","GHSA-3w3w-pxmm-2w2j"
"simple-alipay","1.0.1","GHSA-3wh2-2pp3-2823"
"s3asy","0.4.8","GHSA-3wjm-33mw-h388"
"selenium-standalone-painful","2.39.0-2.7.0","GHSA-3x83-p476-vv95"
"fast-xml-builder","1.1.5","GHSA-45c6-75p6-83cc"
"css_transform_support","1.0.2","GHSA-45cp-hpc9-8347"
"grunt-radical","0.0.14","GHSA-4627-w373-375v"
"mx-nested-menu","0.1.30","GHSA-48hw-37g6-3gw4"
"rc-calendar-jhorst","8.4.3","GHSA-4c87-gg2q-fc6m"
"slush-fullstack-framework","0.9.2","GHSA-4j54-mmmv-hjpm"
"css_transform_step","1.0.6","GHSA-4rx9-58m7-gr8w"
"massif","0.0.1-1","GHSA-4v2c-g2xc-47fv"
"debug","4.4.2","GHSA-4x49-vf9v-38px"
"dojo","1.13.0","GHSA-536q-8gxx-m782"
"angular-location-update","0.0.3","GHSA-53jx-4wwh-gcqj"
"backslash","0.2.1","GHSA-53mq-f4w3-f7qv"
"xoc","1.0.7","GHSA-54cr-gv8w-8324"
"intercom-client","7.0.4","GHSA-54pg-9963-v8vg"
"vue-backbone","0.1.2","GHSA-5635-9mvj-r6hp"
"device-mqtt","1.0.11","GHSA-563h-697m-j7x5"
"react-dates-sc","0.3.0","GHSA-5645-gc7h-98h8"
"radicjs","0.2.1","GHSA-56r9-v65c-34jm"
"secp256k1","5.0.0","GHSA-584q-6j8j-r5pm"
"query-string-parser","1.0.0","GHSA-587p-w43q-4hjx"
"n8n","2.14.0","GHSA-58qr-rcgv-642v"
"apostrophe","4.29.0","GHSA-5f64-7vfc-rcx6"
"color-name","2.0.1","GHSA-5fvm-p68v-5wmh"
"editor.md","1.5.0","GHSA-5q54-8p9j-x74j"
"precode.js","1.1.1","GHSA-5w4r-wwc3-6qcp"
"faker","6.6.6","GHSA-5w9c-rv96-fr7g"
"automagik-genie","2.5.27","GHSA-64vr-4gr2-m642"
"axios","1.15.2","GHSA-654m-c8p4-x5fp"
"@openzeppelin/contracts","4.9.4","GHSA-699g-q6qh-q4v8"
"@openzeppelin/contracts-upgradeable","4.9.4","GHSA-699g-q6qh-q4v8"
"dectalk-tts","1.0.0","GHSA-6cf6-8hvr-r68w"
"@andrea9293/mcp-documentation-server","1.13.0","GHSA-6f5r-5672-72j7"
"jquey","1.0.1","GHSA-6fjr-m7v6-fpg9"
"error-ex","1.3.3","GHSA-6jp5-hh4c-8c5h"
"@cubejs-backend/api-gateway","0.31.23","GHSA-6jqm-3c9g-pch7"
"@backstage/plugin-techdocs-node","1.14.0","GHSA-6jr7-99pf-8vgf"
"ltt.js","1.0.0","GHSA-6qh5-wx38-q92g"
