"package_lc","version","osv_id"
"pubnub","0.1.0","GHSA-5844-q3fc-56rh"
"pubnub","0.1.1","GHSA-5844-q3fc-56rh"
"pubnub","1.0.2","GHSA-5844-q3fc-56rh"
"pubnub","1.0.3","GHSA-5844-q3fc-56rh"
"pubnub","1.0.4","GHSA-5844-q3fc-56rh"
"pubnub","1.0.5","GHSA-5844-q3fc-56rh"
"pubnub","1.1.0","GHSA-5844-q3fc-56rh"
"pubnub","1.1.1","GHSA-5844-q3fc-56rh"
"pubnub","1.1.2","GHSA-5844-q3fc-56rh"
"pubnub","1.1.3","GHSA-5844-q3fc-56rh"
"pubnub","1.2.0","GHSA-5844-q3fc-56rh"
"pubnub","1.3.0","GHSA-5844-q3fc-56rh"
"pubnub","1.4.0","GHSA-5844-q3fc-56rh"
"pubnub","1.4.1","GHSA-5844-q3fc-56rh"
"pubnub","1.4.2","GHSA-5844-q3fc-56rh"
"pubnub","1.4.3","GHSA-5844-q3fc-56rh"
"pubnub","1.4.4","GHSA-5844-q3fc-56rh"
"pubnub","2.0.0","GHSA-5844-q3fc-56rh"
"pubnub","2.0.1","GHSA-5844-q3fc-56rh"
"pubnub","3.0.0","GHSA-5844-q3fc-56rh"
"pubnub","3.0.0-rc","GHSA-5844-q3fc-56rh"
"pubnub","3.0.0-rc.1","GHSA-5844-q3fc-56rh"
"pubnub","3.0.0-rc.2","GHSA-5844-q3fc-56rh"
"pubnub","3.0.1","GHSA-5844-q3fc-56rh"
"pubnub","3.0.2","GHSA-5844-q3fc-56rh"
"pubnub","3.1.0","GHSA-5844-q3fc-56rh"
"pubnub","3.2.0","GHSA-5844-q3fc-56rh"
"pubnub","4.0.0","GHSA-5844-q3fc-56rh"
"pubnub","4.0.0-beta.0","GHSA-5844-q3fc-56rh"
"pubnub","4.0.0-beta.1","GHSA-5844-q3fc-56rh"
"pubnub","4.0.0-beta.2","GHSA-5844-q3fc-56rh"
"pubnub","4.1.0","GHSA-5844-q3fc-56rh"
"pubnub","4.1.1","GHSA-5844-q3fc-56rh"
"pubnub","4.1.2","GHSA-5844-q3fc-56rh"
"pubnub","4.1.3","GHSA-5844-q3fc-56rh"
"pubnub","4.2.1","GHSA-5844-q3fc-56rh"
"pubnub","4.2.2","GHSA-5844-q3fc-56rh"
"pubnub","4.2.3","GHSA-5844-q3fc-56rh"
"pubnub","4.2.4","GHSA-5844-q3fc-56rh"
"shared_preferences_android","2.3.3","GHSA-3hpf-ff72-j67p"
"http","0.10.0","GHSA-4rgh-jx4f-qfcq"
"http","0.11.0","GHSA-4rgh-jx4f-qfcq"
"http","0.11.0+1","GHSA-4rgh-jx4f-qfcq"
"http","0.11.1","GHSA-4rgh-jx4f-qfcq"
"http","0.11.1+1","GHSA-4rgh-jx4f-qfcq"
"http","0.11.1+3","GHSA-4rgh-jx4f-qfcq"
"http","0.11.2","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+1","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+11","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+12","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+13","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+14","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+15","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+16","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+17","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+2","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+3","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+4","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+5","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+6","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+7","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+8","GHSA-4rgh-jx4f-qfcq"
"http","0.11.3+9","GHSA-4rgh-jx4f-qfcq"
"http","0.12.0","GHSA-4rgh-jx4f-qfcq"
"http","0.12.0+1","GHSA-4rgh-jx4f-qfcq"
"http","0.12.0+2","GHSA-4rgh-jx4f-qfcq"
"http","0.12.0+3","GHSA-4rgh-jx4f-qfcq"
"http","0.12.0+4","GHSA-4rgh-jx4f-qfcq"
"http","0.12.1","GHSA-4rgh-jx4f-qfcq"
