"package_lc","version","osv_id"
"lodash-rails","4.0.0","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.11.2","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.12.0","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.13.1","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.14.1","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.15.0","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.16.1","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.16.3","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.16.4","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.16.6","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.10","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.11","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.14","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.15","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.2","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.4","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.17.5","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.3.0","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.5.1","GHSA-29mw-wpgm-hmr9"
"lodash-rails","4.6.1","GHSA-29mw-wpgm-hmr9"
"jquery-rails","0.1.1","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.1.2","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.1.3","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.1","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.2","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.3","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.4","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.5","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.6","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","0.2.7","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","1.0","GHSA-2pqj-h3vj-pqgw"
"jquery-rails","1.0.1","GHSA-2pqj-h3vj-pqgw"
